Parent 1 Highest Grade,Race,Sex,Self Esteem Score,AFQT Percentile Score,Type of Residence 1983,Average Drinks 2008,Highest Grade,Fam Size 1979,Foreign Language,Library Card,Parent Cohabitation,Number Siblings,First Marijuana Use,Income 2018
12,3,2,-5,-4,-5,-5,12,5,1,1,-4,1,-5,-5
8,3,2,16,6841,-4,-4,12,5,1,1,-4,8,-4,25000
10,3,2,20,49444,11,2,12,5,0,1,-4,3,12,80000
10,3,2,-5,55761,11,-5,14,5,0,0,-4,3,-5,0
13,3,1,23,96772,3,-5,18,4,0,1,-4,1,-5,-5
12,3,1,27,99393,17,2,16,4,0,1,-4,1,17,117000
8,3,1,26,47412,1,-4,12,3,0,1,-4,1,12,-5
12,3,2,23,44022,11,8,14,3,1,1,1,7,15,51313
9,3,1,26,59683,-4,3,14,6,0,1,-4,4,18,-5
10,3,2,19,30039,11,-5,9,3,0,0,-4,3,15,-5
13,3,1,-5,85347,17,-5,16,3,0,1,-4,1,17,-5
13,3,2,30,89641,11,-5,16,3,0,1,-4,3,16,-5
14,3,1,25,72313,11,-5,16,5,1,1,-4,2,18,-5
9,3,2,21,98798,3,2,19,5,0,1,-4,2,14,-5
8,3,1,23,82260,3,3,16,4,0,1,-4,1,-4,0
12,3,2,25,50283,17,2,13,4,0,1,-4,3,17,90000
13,3,1,24,89669,-4,-4,13,2,0,1,-4,2,16,69000
12,3,1,28,95977,11,3,13,1,0,1,-4,2,14,150000
12,3,2,28,-4,-5,-5,12,2,0,1,1,3,15,-5
13,3,2,21,67021,17,2,17,5,0,1,-4,2,18,-5
11,3,2,28,88416,17,2,16,5,0,1,-4,2,15,0
10,3,2,17,89167,-4,1,16,4,1,1,-4,1,11,-5
13,3,1,-3,83214,3,-5,19,5,0,1,-4,2,-5,-5
11,3,1,28,66029,-4,-5,12,5,0,1,-4,2,-4,-5
13,3,2,19,51390,11,2,14,3,0,1,-4,1,16,48000
10,3,1,25,97075,-4,-5,16,4,0,1,-4,2,-5,-5
12,3,2,23,96674,-4,2,16,4,0,1,-4,1,21,58000
8,3,2,19,92784,-4,-5,13,4,0,1,-4,1,14,-5
12,3,2,30,25905,17,2,12,4,1,1,-4,1,-4,0
13,3,2,21,8528,-5,-4,12,4,1,1,-4,1,-4,0
8,1,1,28,-4,-4,4,12,4,1,0,-4,2,-4,40000
14,1,2,-5,-4,11,-5,18,5,1,1,-4,2,18,-5
9,1,1,-5,-5,-5,-4,12,4,1,1,-4,2,-1,0
13,3,1,26,6069,11,3,13,4,0,1,-4,5,19,0
9,3,2,27,53046,17,-5,13,4,0,1,-4,5,17,-5
8,3,1,13,-4,11,-4,12,5,0,1,-4,3,10,87000
12,3,2,20,56290,11,1,12,4,0,1,-4,4,18,48000
9,3,2,22,12788,17,3,12,4,0,1,-4,4,22,120000
12,3,1,-5,26851,11,1,12,4,0,1,-4,4,-4,65000
12,3,1,18,38419,17,3,14,3,0,1,-4,2,17,35000
10,3,1,27,57095,17,2,15,3,0,1,-4,3,17,180000
8,3,1,25,22326,-4,3,12,4,1,1,-4,1,17,-5
11,3,2,-3,15325,-4,-4,12,5,0,1,-4,2,18,0
11,3,2,20,37061,-4,1,12,4,0,1,-4,4,-5,67080
12,3,1,23,50629,17,-5,12,3,0,1,-4,2,14,-5
9,3,2,30,78095,3,1,19,3,1,1,-4,0,17,-5
12,3,1,20,75473,-4,3,12,3,0,1,-4,1,-4,105000
12,3,1,21,24806,11,-5,12,2,0,1,-4,3,-4,-5
14,3,2,26,71226,11,1,14,2,0,1,1,6,18,0
10,3,2,20,78742,11,5,12,4,0,0,-4,4,12,60000
8,3,1,-5,-5,-5,-5,8,4,0,1,-4,4,-5,-5
14,3,1,28,69080,11,-5,14,1,1,1,1,6,-5,-5
7,1,1,22,43641,-4,-4,12,7,0,0,-4,3,18,0
11,3,1,20,-4,11,-5,10,2,1,0,-4,3,-5,52000
11,3,1,-5,-5,-5,-5,12,4,0,1,-3,2,-5,-5
8,3,2,-1,76020,-5,-5,11,4,0,0,-4,2,-5,-5
12,3,2,27,30830,11,1,12,2,0,1,1,1,18,36920
15,3,2,30,91625,11,1,17,5,0,1,-4,2,-4,129000
12,3,1,29,98841,17,1,12,5,0,-2,-4,2,-2,45000
10,3,1,29,82980,11,-5,12,5,0,1,-4,2,16,-5
10,3,2,20,99150,17,2,14,4,0,1,-4,3,16,10000
8,3,2,22,36384,11,2,16,4,0,1,-4,3,16,65000
12,3,1,22,87934,17,2,16,3,0,1,-4,3,18,163000
11,3,1,28,92989,11,-5,13,6,0,1,-4,3,-5,-5
9,3,2,19,75171,17,-5,16,6,0,1,-4,3,-5,-5
8,3,1,20,22649,-4,-4,14,4,0,1,-4,3,-4,-1
-3,3,1,29,93246,11,2,18,4,0,1,-4,1,20,5400
10,3,2,29,100000,11,3,16,4,0,1,-4,1,15,1000
8,3,1,25,86703,3,2,18,4,0,1,-4,1,20,130000
11,3,1,23,-4,3,2,18,4,0,1,-4,1,-4,50000
9,3,1,27,98077,3,-5,19,3,0,1,-4,1,-5,-5
13,3,2,24,80538,11,3,16,3,0,1,-4,2,17,47000
8,3,1,26,81527,3,2,18,4,0,1,-4,2,17,396970
13,3,2,23,95536,11,-5,16,1,0,1,1,3,-1,-5
10,3,2,23,83379,3,1,16,5,0,1,-4,3,14,200000
9,3,1,21,42780,3,-4,14,5,0,1,-4,3,15,70000
8,3,2,22,96835,3,2,16,4,0,1,-4,1,19,42000
15,3,2,24,85347,-4,-5,16,5,0,1,-4,2,-4,-5
12,3,1,26,96084,3,-5,18,5,0,1,-4,2,18,-5
8,3,1,25,78759,17,1,19,4,0,0,-4,5,-4,29000
7,3,1,22,29497,17,-5,19,4,0,1,-4,5,16,72000
11,2,1,25,2168,-5,-4,12,8,0,1,-4,6,17,-5
9,2,1,18,2366,17,-4,10,7,0,1,-4,3,16,0
8,2,1,20,21008,17,-4,12,7,0,1,-4,3,16,0
7,2,1,21,2427,5,1,11,7,0,1,-4,7,16,0
9,2,2,24,7198,11,3,9,3,0,1,-4,7,16,23000
9,2,1,22,12463,17,5,12,7,0,1,-4,7,29,0
12,2,1,30,80798,11,2,16,2,0,1,-4,1,16,36000
13,2,2,25,84980,11,-4,16,5,1,1,-4,8,19,75000
14,3,1,23,80298,17,-4,16,5,1,1,-4,2,18,140000
8,3,2,20,22823,11,-4,16,5,1,1,-4,2,-4,15000
9,3,2,25,44375,11,2,12,4,0,1,-4,1,22,50000
7,3,1,25,28438,-4,2,12,4,0,1,-4,1,17,70000
10,3,1,24,-4,-4,-4,10,4,0,1,-4,2,-1,54000
12,3,2,20,34573,11,2,12,4,0,1,-4,2,17,40000
11,3,2,19,36772,11,1,12,1,1,1,1,2,16,61000
9,3,2,19,59411,11,6,14,1,0,1,1,7,15,35000
13,3,2,23,69552,11,-4,13,1,1,1,1,2,13,23000
14,3,2,24,-5,-5,-4,14,4,0,1,-4,1,18,32000
8,3,2,21,40421,11,2,12,2,1,1,-4,2,19,106000
14,3,1,27,87368,11,-5,20,5,1,1,-4,1,-4,-5
8,3,2,24,56649,-4,2,16,5,1,1,-4,1,-4,-1
14,3,1,23,76421,11,3,18,3,1,1,-4,2,18,92457
12,3,2,29,48175,17,-5,12,3,1,1,-4,0,16,-5
12,3,2,19,81787,11,2,12,3,1,1,-4,0,13,-5
11,3,1,20,87651,11,1,16,3,1,1,-4,1,16,127000
10,3,1,22,65347,-4,-4,16,5,0,1,-4,2,-4,100000
14,3,1,23,96818,-4,1,20,5,0,1,-4,2,18,80000
10,3,2,21,57445,-4,-5,12,4,0,1,-4,2,16,-5
12,3,1,18,64697,11,2,13,6,0,1,-4,3,14,101000
12,3,2,26,46195,11,2,12,6,0,1,-4,3,15,20000
9,3,2,23,39529,11,2,12,6,0,1,-4,3,17,30000
9,3,1,19,64537,12,-5,12,4,1,1,-4,3,-5,-5
12,3,1,27,75984,11,-5,12,4,1,1,-4,3,-5,-5
12,3,2,30,85492,11,-5,16,5,0,1,-4,2,-5,27000
8,3,2,25,62654,3,-5,15,5,0,1,-4,2,-5,-5
12,3,1,30,98349,11,2,15,5,0,1,-4,2,18,59800
8,3,2,16,29212,11,-5,9,3,0,0,-4,2,13,-5
13,3,1,27,27671,11,1,16,2,0,0,-4,2,-2,20000
10,3,1,18,97847,3,3,16,5,1,1,-4,2,-4,120000
8,3,2,30,92618,3,-4,17,5,1,1,-4,2,-4,63000
10,3,1,22,52132,17,-4,12,4,0,1,-4,1,18,100000
10,3,1,19,92204,-4,-5,16,3,0,1,-4,1,-4,-5
11,3,2,18,40114,-4,-4,15,4,0,1,-4,7,-2,0
12,3,1,28,32107,11,-5,13,4,0,1,-4,7,-4,-5
13,3,1,23,67259,11,-4,14,4,0,1,-4,7,14,70000
10,3,1,15,36287,6,-5,12,4,0,1,-4,1,12,-5
12,3,2,29,59846,11,2,12,3,0,1,-4,-3,16,120000
11,3,1,30,92817,-4,2,16,6,0,1,-4,3,-4,0
12,3,2,16,-5,-5,-5,13,1,1,1,1,7,-5,-5
12,3,2,-3,-5,-5,-5,12,1,0,1,1,10,-5,-5
13,3,2,-5,-5,-5,-5,12,1,1,1,1,5,-5,-5
9,3,2,25,57983,-4,2,12,4,0,1,-4,4,15,0
11,3,1,25,47098,-4,-5,12,6,0,1,-4,5,-4,-5
8,3,1,18,38315,-4,2,16,6,0,1,-4,5,17,80000
12,3,2,28,5875,-4,-4,12,3,0,1,-4,1,-4,0
11,3,2,27,87283,11,1,16,7,0,1,-4,4,17,206000
10,3,2,24,88326,-4,1,16,7,0,1,-4,4,-4,37000
9,3,1,26,79832,1,2,15,7,0,1,-4,4,-5,-5
14,3,2,30,72878,11,1,17,4,0,1,-4,1,-4,82000
10,3,2,30,85861,3,-5,18,3,0,1,-4,2,-4,70324
12,3,1,23,-4,-4,-5,12,5,0,1,-4,3,17,-5
11,3,2,22,59838,11,1,15,5,0,1,-4,3,16,-5
8,3,2,18,37874,-4,-5,12,5,0,1,-4,3,22,22000
10,3,1,18,62607,17,2,12,6,0,1,-4,3,16,14000
8,3,1,22,86932,17,12,12,6,0,1,-4,3,17,115000
11,3,2,18,22466,-4,1,14,3,0,1,-4,0,-4,13000
9,3,1,28,74997,-4,2,12,5,0,1,-4,2,16,48000
8,3,2,23,39973,-4,1,12,5,0,1,-4,2,17,120000
12,3,1,30,38129,-4,-4,12,3,0,1,-4,0,-4,-5
12,3,2,23,28478,11,-5,12,5,0,1,-4,2,-4,-1
11,3,2,28,93332,11,2,12,5,0,1,-4,2,15,80000
9,3,2,-5,-5,-5,1,12,4,0,1,-4,2,13,163
8,3,2,-5,-5,-5,-5,8,4,0,1,-4,2,-5,-5
9,3,1,20,47003,11,-5,9,6,1,1,-4,3,15,-5
-3,3,1,-5,4975,11,-4,11,3,0,1,-4,4,17,-5
10,3,2,24,43873,11,1,20,5,0,1,-4,2,13,-5
14,3,2,28,85206,11,-4,17,5,0,1,-4,2,-4,85000
12,3,2,27,89686,-4,-5,16,5,0,1,-4,2,14,-5
12,3,2,24,77440,-4,2,14,5,1,1,-4,3,11,20000
10,3,2,20,47296,-4,2,12,5,1,1,-4,3,12,50847
11,3,1,22,98253,11,-5,18,4,0,1,-4,2,18,-5
10,3,1,26,86427,11,-5,16,4,0,1,-4,2,-5,-5
12,3,2,21,22240,-5,-5,12,3,0,1,-4,3,13,-5
11,3,2,19,46506,17,2,12,4,0,1,-4,3,16,50000
10,3,1,19,58432,11,6,13,5,0,1,-4,3,14,-5
12,3,2,27,33598,11,-5,12,4,0,1,-4,4,19,-5
10,2,1,24,19981,17,-5,16,6,0,1,-4,4,-5,-5
10,2,2,23,18862,17,-5,14,6,0,1,-4,4,-5,-5
13,3,2,-3,-5,11,-5,14,2,1,0,-4,1,-4,-5
10,3,1,24,82207,11,3,16,3,1,1,-4,0,16,145000
9,3,2,9,1230,11,-4,9,1,1,1,-4,9,-4,0
9,3,1,19,71044,11,-5,9,4,0,1,-4,2,-5,-5
12,1,2,20,47279,-4,1,13,5,1,1,-4,1,-4,33000
14,3,2,-5,-4,11,-4,14,1,0,1,1,2,14,-1
13,3,2,23,82495,6,-5,16,5,0,1,1,2,-5,-5
11,3,1,26,51881,-4,-5,12,3,0,1,-4,2,-5,-5
12,3,1,24,77068,17,1,16,4,0,1,-4,2,-4,-5
12,3,2,27,30455,11,2,12,2,1,1,-4,2,16,5200
14,3,2,30,88334,11,-5,16,3,0,1,1,4,14,96000
12,3,1,-5,-5,-5,-4,12,3,1,1,-4,1,-5,50000
8,3,1,-5,-5,-5,-5,13,3,1,1,-4,1,-5,0
12,3,2,20,49623,11,2,12,5,0,1,-4,3,17,-5
12,3,2,23,59078,-4,2,16,5,0,1,-4,3,17,16000
8,3,1,19,77155,-4,3,12,5,0,1,-4,3,13,78000
13,3,2,19,81515,11,2,18,5,0,1,-4,2,17,185000
7,3,1,22,58788,-4,-5,15,5,0,1,-4,2,19,-5
11,3,2,19,11983,-4,3,10,3,1,1,-4,1,30,0
14,3,1,24,59286,-4,2,16,1,1,1,1,2,-4,130000
10,3,2,27,73636,3,-4,18,4,1,1,-4,2,23,200000
9,3,1,29,89270,3,1,19,4,1,1,-4,2,17,396970
9,3,2,23,80480,-4,-4,16,4,0,1,-4,1,18,72000
14,3,1,23,45527,-4,-4,16,4,0,1,-4,1,-4,119843
8,3,1,23,68738,-4,-5,16,4,0,1,-4,1,-5,-5
13,3,1,27,87917,11,1,18,4,0,1,-4,1,-4,396970
9,3,1,20,95117,-4,-5,18,4,0,1,-4,1,16,190000
11,3,2,18,17107,-4,3,12,5,0,1,-4,3,21,17000
9,3,1,26,64239,-4,2,18,4,0,1,-4,1,-4,-1
12,3,1,18,19225,-4,-4,12,3,0,1,-4,2,-4,-5
12,3,2,15,27551,11,-4,12,2,0,1,1,2,15,0
14,3,1,30,86603,-4,-4,16,4,0,1,-4,1,16,0
12,3,1,27,73184,11,2,14,1,0,1,1,1,15,12000
13,1,2,21,13970,17,-5,13,2,1,0,-4,1,-4,-5
11,1,2,24,17136,11,-5,12,2,1,0,0,5,13,32000
12,1,2,23,5082,11,-4,12,3,1,1,1,4,20,0
10,3,1,23,26440,11,-5,10,5,0,1,-4,2,-5,-5
9,3,1,19,25802,-4,3,12,5,0,0,-4,2,15,-5
11,3,2,20,10352,11,-5,12,2,0,1,1,3,16,0
11,3,1,29,49080,17,-5,11,2,0,1,-4,2,18,-5
10,3,1,15,59040,3,2,16,5,1,1,-4,2,16,72000
8,3,2,24,74988,3,1,16,5,0,1,-4,2,18,35000
12,3,1,26,57814,11,3,12,6,0,1,-4,3,18,60000
10,3,1,21,99460,3,3,16,6,0,1,-4,3,14,-5
9,3,1,18,79883,-4,5,16,6,0,1,-4,3,15,155000
12,3,1,17,66226,-4,-5,16,3,1,1,-4,2,-5,-5
11,3,2,21,-5,-5,-4,16,5,0,1,-4,2,-1,-5
10,3,1,22,-5,-5,-5,10,5,0,1,-4,2,-5,-5
15,3,1,30,81447,11,1,16,2,0,1,-4,2,16,396970
13,3,2,24,60012,-4,2,20,4,0,1,-4,1,18,0
11,3,2,25,89381,3,-4,20,4,0,1,-4,1,14,145000
6,2,2,16,5315,-4,-4,12,11,0,1,-4,6,15,0
9,2,1,16,787,-4,-4,9,11,0,1,-4,6,-4,0
8,2,1,19,9190,11,-4,12,11,0,1,-4,6,18,60000
10,2,2,25,13326,11,-4,12,11,0,1,-4,6,13,15100
9,1,1,19,2604,-4,-5,12,4,1,1,-4,3,-4,-5
9,1,1,-5,25781,11,-5,13,4,1,1,-4,3,-5,-5
9,2,2,17,6599,11,-4,12,3,0,1,0,4,18,36000
10,1,2,20,2739,11,-4,9,4,1,1,-4,4,-4,0
9,3,2,23,52042,11,-4,12,3,0,1,-4,1,14,8064
7,3,1,25,34084,-4,2,15,4,1,1,-4,2,16,80000
-3,3,2,23,36443,17,2,12,5,1,1,-4,3,-4,75000
11,3,1,18,55780,11,-4,14,5,0,1,-4,3,-4,28000
9,3,1,20,31472,17,6,12,5,0,0,-4,3,16,60000
10,3,1,21,35461,11,-4,12,3,0,0,-4,7,-4,90000
9,3,1,27,61313,17,-4,15,6,0,1,-4,3,14,0
10,3,2,30,71673,-4,-4,13,4,0,1,-4,1,18,56000
12,3,2,26,64751,11,-4,12,1,0,1,0,4,14,0
-3,3,2,27,-5,-5,-5,12,8,0,1,-4,6,-5,-5
10,3,2,17,13294,11,2,10,1,0,1,1,7,-4,-5
10,3,2,25,50483,11,2,12,8,0,1,-4,6,13,48428
8,3,1,22,22027,-4,-5,12,8,0,1,-4,6,-5,-5
12,3,2,27,30481,11,3,12,1,0,0,1,2,17,102000
12,3,1,25,62957,11,3,12,1,0,1,1,3,17,396970
12,3,2,16,73828,11,7,12,3,0,1,1,4,17,0
